player_id,elo_overall,elo_hard,elo_clay,elo_grass,elo_carpet
112919,1439.4,1463.2,1457.1,1500.9,1500.0
110073,1440.0,1456.1,1520.0,1446.7,1500.0
109908,1520.1,1517.9,1432.4,1578.1,1479.2
100001,1498.1,1500.0,1486.4,1484.9,1500.0
100002,1568.2,1463.2,1491.5,1519.0,1371.9
110063,1548.7,1492.6,1541.1,1530.2,1500.0
110289,1406.5,1488.1,1458.0,1420.6,1500.0
112517,1570.6,1500.0,1568.9,1649.8,1460.3
112556,1574.2,1606.7,1468.8,1474.4,1500.0
112457,1472.2,1500.0,1512.9,1462.3,1500.0
112592,1556.3,1487.3,1584.3,1485.3,1500.0
112331,1537.7,1487.6,1503.9,1551.5,1500.0
114777,1473.2,1500.0,1500.0,1468.6,1500.0
100011,1456.8,1451.1,1358.4,1568.9,1380.5
114741,1462.4,1463.9,1500.0,1479.4,1500.0
100006,1451.7,1481.1,1473.6,1481.5,1500.0
109884,1621.1,1518.5,1559.4,1570.3,1500.0
112315,1493.1,1500.0,1474.2,1503.9,1500.0
110202,1447.3,1500.0,1452.7,1445.1,1500.0
112603,1479.3,1500.0,1496.4,1439.1,1500.0
112585,1378.9,1500.0,1375.8,1431.6,1500.0
112313,1643.5,1505.1,1558.2,1658.9,1499.0
117236,1407.3,1399.4,1412.3,1492.3,1500.0
110184,1507.4,1520.0,1537.3,1465.3,1500.0
112608,1472.9,1500.0,1473.9,1485.4,1500.0
112611,1403.6,1442.6,1494.6,1416.9,1500.0
109903,1606.6,1563.0,1526.7,1498.8,1465.4
100016,1807.8,1850.5,1705.2,1840.8,1720.3
100013,1513.4,1477.1,1548.2,1520.8,1500.0
112318,1486.4,1500.0,1500.0,1482.3,1500.0
100004,1541.6,1514.8,1517.3,1416.2,1500.0
100010,1654.2,1633.7,1625.5,1565.0,1500.0
109745,1733.4,1561.2,1680.7,1650.0,1468.1
109775,1693.7,1501.8,1565.1,1656.2,1475.7
109748,1584.7,1517.5,1453.1,1540.8,1480.0
110069,1584.2,1500.0,1576.2,1556.2,1500.0
113229,1407.7,1461.2,1483.4,1422.1,1500.0
113287,1446.0,1500.0,1459.8,1480.0,1500.0
106611,1391.0,1500.0,1350.9,1495.7,1500.0
114978,1430.8,1430.6,1500.0,1463.7,1500.0
112528,1510.3,1500.0,1557.5,1451.1,1500.0
110124,1453.1,1500.0,1431.9,1500.0,1500.0
110204,1416.6,1500.0,1485.9,1398.4,1451.1
110050,1402.4,1500.0,1438.6,1413.5,1500.0
112526,1530.5,1488.3,1521.4,1526.1,1500.0
100023,1781.9,1727.9,1734.4,1564.7,1484.7
109821,1599.5,1476.6,1542.7,1466.8,1527.7
110224,1369.8,1485.2,1413.8,1400.5,1479.3
100021,1752.5,1481.8,1585.3,1771.9,1500.0
100678,1366.1,1365.3,1484.3,1438.0,1500.0
110070,1445.1,1500.0,1482.5,1450.4,1500.0
100007,1506.5,1517.4,1444.1,1471.3,1500.0
100017,1647.5,1636.0,1478.3,1714.1,1500.0
100022,1765.7,1784.1,1755.7,1948.8,1655.3
110047,1366.7,1500.0,1455.3,1364.0,1500.0
109818,1441.6,1472.4,1512.9,1448.2,1500.0
100012,1577.7,1562.4,1591.9,1487.6,1432.9
100018,1606.9,1570.4,1481.9,1523.2,1485.8
110066,1465.0,1500.0,1500.0,1451.5,1500.0
114985,1450.7,1500.0,1479.8,1456.5,1500.0
110163,1487.6,1500.0,1500.0,1482.3,1500.0
117251,1442.1,1490.9,1472.0,1452.3,1500.0
112620,1454.1,1486.2,1415.2,1496.1,1500.0
113169,1423.6,1500.0,1439.6,1456.3,1500.0
110805,1376.0,1520.0,1374.3,1440.9,1500.0
109783,1512.1,1442.6,1437.8,1542.5,1478.8
100009,1632.4,1612.2,1560.4,1316.6,1406.1
100014,1483.1,1500.0,1487.8,1481.8,1500.0
117040,1475.1,1500.2,1482.1,1480.3,1500.0
114969,1464.1,1500.0,1476.4,1469.6,1500.0
114958,1500.4,1511.6,1500.0,1483.9,1500.0
114944,1452.9,1479.9,1482.3,1459.3,1500.0
100015,1518.8,1500.0,1500.0,1521.9,1500.0
100041,1437.7,1500.0,1500.0,1412.1,1500.0
109814,1375.1,1471.5,1465.8,1303.0,1500.0
109966,1393.1,1500.0,1479.1,1380.4,1462.4
100025,1467.7,1490.8,1518.9,1548.4,1422.4
100026,1846.7,1875.7,1784.3,1908.5,1560.2
112637,1501.7,1483.4,1482.9,1534.5,1500.0
109768,1676.7,1521.2,1703.5,1541.4,1500.0
110130,1425.5,1496.2,1402.8,1467.6,1500.0
112708,1481.5,1523.3,1481.0,1459.0,1500.0
109820,1421.8,1500.0,1475.2,1391.4,1500.0
113460,1457.5,1478.8,1500.0,1468.8,1500.0
115036,1464.6,1464.7,1500.0,1462.7,1500.0
109823,1604.3,1512.6,1540.4,1524.1,1391.7
112169,1479.2,1514.3,1500.0,1457.5,1500.0
100029,1938.1,1931.1,2030.0,1946.2,1782.7
100048,1833.4,1694.9,1707.1,1701.0,1568.7
100020,1663.3,1597.5,1434.7,1638.1,1470.0
112477,1461.8,1486.7,1487.9,1469.5,1500.0
112627,1568.2,1575.8,1514.6,1476.8,1500.0
117263,1541.8,1471.1,1517.7,1395.4,1500.0
111142,1454.2,1500.0,1489.8,1453.4,1500.0
110268,1460.1,1458.8,1498.0,1447.6,1500.0
112473,1437.4,1519.5,1427.3,1416.5,1500.0
111012,1502.4,1474.5,1537.2,1442.2,1500.0
114941,1414.7,1500.0,1477.8,1410.8,1500.0
114747,1463.7,1480.0,1500.0,1470.1,1500.0
115019,1453.0,1460.1,1500.0,1478.9,1500.0
115020,1511.1,1508.7,1500.0,1505.9,1500.0
113563,1493.2,1478.9,1500.0,1507.1,1500.0
114970,1460.6,1500.0,1500.0,1449.8,1500.0
100050,1740.2,1564.6,1717.5,1514.6,1433.9
109813,1673.6,1694.5,1645.2,1607.6,1459.2
100030,1787.3,1723.4,1811.3,1844.3,1474.4
112448,1458.6,1500.0,1500.0,1449.0,1500.0
100040,1514.6,1508.8,1526.6,1669.6,1638.4
112619,1532.5,1500.2,1518.9,1498.1,1483.9
110373,1826.2,1607.1,1774.0,1717.6,1453.2
